time_ms,Omega_ctrl_Hz
0.04280000,2194.26526005
0.04300000,2180.85979068
0.04320000,2167.44780166
0.04340000,2154.02991068
0.04360000,2140.60673586
0.04380000,2127.17889571
0.04400000,2113.74700909
0.04420000,2100.31169520
0.04440000,2086.87357357
0.04460000,2073.43326400
0.04480000,2059.99138656
0.04500000,2046.54856155
0.04520000,2033.10540951
0.04540000,2019.66255114
0.04560000,2006.22060733
0.04580000,1992.78019908
0.04600000,1979.34194754
0.04620000,1965.90647393
0.04640000,1952.47439953
0.04660000,1939.04634569
0.04680000,1925.62293374
0.04700000,1912.20478503
0.04720000,1898.79252087
0.04740000,1885.38676250
0.04760000,1871.98813110
0.04780000,1858.59724771
0.04800000,1845.21473326
0.04820000,1831.84120854
0.04840000,1818.47729411
0.04860000,1805.12361038
0.04880000,1791.78077747
0.04900000,1778.44941530
0.04920000,1765.13014347
0.04940000,1751.82358130
0.04960000,1738.53034775
0.04980000,1725.25106146
0.05000000,1711.98634066
0.05020000,1698.73680320
0.05040000,1685.50306648
0.05060000,1672.28574747
0.05080000,1659.08546263
0.05100000,1645.90282795
0.05120000,1632.73845888
0.05140000,1619.59297030
0.05160000,1606.46697654
0.05180000,1593.36109131
0.05200000,1580.27592770
0.05220000,1567.21209816
0.05240000,1554.17021445
0.05260000,1541.15088763
0.05280000,1528.15472806
0.05300000,1515.18234531
0.05320000,1502.23434822
0.05340000,1489.31134480
0.05360000,1476.41394227
0.05380000,1463.54274696
0.05400000,1450.69836438
0.05420000,1437.88139911
0.05440000,1425.09245482
0.05460000,1412.33213425
0.05480000,1399.60103915
0.05500000,1386.89977030
0.05520000,1374.22892745
0.05540000,1361.58910933
0.05560000,1348.98091357
0.05580000,1336.40493675
0.05600000,1323.86177433
0.05620000,1311.35202061
0.05640000,1298.87626876
0.05660000,1286.43511075
0.05680000,1274.02913736
0.05700000,1261.65893812
0.05720000,1249.32510130
0.05740000,1237.02821393
0.05760000,1224.76886170
0.05780000,1212.54762899
0.05800000,1200.36509883
0.05820000,1188.22185287
0.05840000,1176.11847138
0.05860000,1164.05553320
0.05880000,1152.03361572
0.05900000,1140.05329489
0.05920000,1128.11514513
0.05940000,1116.21973939
0.05960000,1104.36764906
0.05980000,1092.55944398
0.06000000,1080.79569240
0.06020000,1069.07696098
0.06040000,1057.40381474
0.06060000,1045.77681704
0.06080000,1034.19652960
0.06100000,1022.66351242
0.06120000,1011.17832378
0.06140000,999.74152023
0.06160000,988.35365655
0.06180000,977.01528573
0.06200000,965.72695896
0.06220000,954.48922560
0.06240000,943.30263314
0.06260000,932.16772723
0.06280000,921.08505157
0.06300000,910.05514800
0.06320000,899.07855636
0.06340000,888.15581457
0.06360000,877.28745855
0.06380000,866.47402221
0.06400000,855.71603742
0.06420000,845.01403403
0.06440000,834.36853978
0.06460000,823.78008036
0.06480000,813.24917930
0.06500000,802.77635802
0.06520000,792.36213578
0.06540000,782.00702965
0.06560000,771.71155451
0.06580000,761.47622301
0.06600000,751.30154558
0.06620000,741.18803035
0.06640000,731.13618320
0.06660000,721.14650768
0.06680000,711.21950504
0.06700000,701.35567416
0.06720000,691.55551157
0.06740000,681.81951141
0.06760000,672.14816540
0.06780000,662.54196285
0.06800000,653.00139062
0.06820000,643.52693310
0.06840000,634.11907219
0.06860000,624.77828728
0.06880000,615.50505525
0.06900000,606.29985041
0.06920000,597.16314452
0.06940000,588.09540675
0.06960000,579.09710367
0.06980000,570.16869923
0.07000000,561.31065471
0.07020000,552.52342875
0.07040000,543.80747732
0.07060000,535.16325366
0.07080000,526.59120832
0.07100000,518.09178908
0.07120000,509.66544099
0.07140000,501.31260632
0.07160000,493.03372454
0.07180000,484.82923231
0.07200000,476.69956346
0.07220000,468.64514899
0.07240000,460.66641701
0.07260000,452.76379275
0.07280000,444.93769855
0.07300000,437.18855382
0.07320000,429.51677505
0.07340000,421.92277575
0.07360000,414.40696648
0.07380000,406.96975481
0.07400000,399.61154529
0.07420000,392.33273946
0.07440000,385.13373581
0.07460000,378.01492979
0.07480000,370.97671376
0.07500000,364.01947701
0.07520000,357.14360570
0.07540000,350.34948288
0.07560000,343.63748846
0.07580000,337.00799920
0.07600000,330.46138868
0.07620000,323.99802731
0.07640000,317.61828227
0.07660000,311.32251755
0.07680000,305.11109390
0.07700000,298.98436880
0.07720000,292.94269650
0.07740000,286.98642794
0.07760000,281.11591078
0.07780000,275.33148938
0.07800000,269.63350476
