# time_s,Omega_ctrl_Hz (k=0, T=1.250000e-04s)
0.000000000000000000e+00,6.603672409387825610e+03
6.249999999999999717e-08,6.606234640165627752e+03
1.249999999999999943e-07,6.608730728317609646e+03
1.875000000000000048e-07,6.611160427572034678e+03
2.499999999999999887e-07,6.613523492413617532e+03
3.124999999999999726e-07,6.615819678105621279e+03
3.750000000000000095e-07,6.618048740711917162e+03
4.374999999999999934e-07,6.620210437119021663e+03
4.999999999999999774e-07,6.622304525058130821e+03
5.625000000000000143e-07,6.624330763127112732e+03
6.249999999999999452e-07,6.626288910812475478e+03
6.874999999999999821e-07,6.628178728511315057e+03
7.500000000000000190e-07,6.629999977553225108e+03
8.124999999999999500e-07,6.631752420222187538e+03
8.749999999999999869e-07,6.633435819778410405e+03
9.374999999999999179e-07,6.635049940480139412e+03
9.999999999999999547e-07,6.636594547605441221e+03
1.062499999999999992e-06,6.638069407473926731e+03
1.125000000000000029e-06,6.639474287468447983e+03
1.187499999999999854e-06,6.640808956056745956e+03
1.249999999999999890e-06,6.642073182813052881e+03
1.312499999999999927e-06,6.643266738439652727e+03
1.374999999999999964e-06,6.644389394788372556e+03
1.437500000000000001e-06,6.645440924882056606e+03
1.500000000000000038e-06,6.646421102935946692e+03
1.562499999999999863e-06,6.647329704379046234e+03
1.624999999999999900e-06,6.648166505875397888e+03
1.687499999999999937e-06,6.648931285345316610e+03
1.749999999999999974e-06,6.649623821986554503e+03
1.812500000000000011e-06,6.650243896295415652e+03
1.874999999999999836e-06,6.650791290087786365e+03
1.937500000000000084e-06,6.651265786520117217e+03
1.999999999999999909e-06,6.651667170110322331e+03
2.062499999999999735e-06,6.651995226758624995e+03
2.124999999999999983e-06,6.652249743768313238e+03
2.187499999999999808e-06,6.652430509866428110e+03
2.250000000000000057e-06,6.652537315224377380e+03
2.312499999999999882e-06,6.652569951478483745e+03
2.374999999999999707e-06,6.652528211750419359e+03
2.437499999999999956e-06,6.652411890667598527e+03
2.499999999999999781e-06,6.652220784383458522e+03
2.562500000000000030e-06,6.651954690597670378e+03
2.624999999999999855e-06,6.651613408576253278e+03
2.687499999999999680e-06,6.651196739171609806e+03
