time_ms,Omega_ctrl_Hz
0.07920000,-5249.58396264
0.07960000,-5255.38500359
0.08000000,-5261.15568568
0.08040000,-5266.89557369
0.08080000,-5272.60423252
0.08120000,-5278.28122724
0.08160000,-5283.92612308
0.08200000,-5289.53848546
0.08240000,-5295.11787999
0.08280000,-5300.66387253
0.08320000,-5306.17602918
0.08360000,-5311.65391629
0.08400000,-5317.09710050
0.08440000,-5322.50514875
0.08480000,-5327.87762831
0.08520000,-5333.21410678
0.08560000,-5338.51415211
0.08600000,-5343.77733263
0.08640000,-5349.00321708
0.08680000,-5354.19137460
0.08720000,-5359.34137476
0.08760000,-5364.45278760
0.08800000,-5369.52518360
0.08840000,-5374.55813376
0.08880000,-5379.55120957
0.08920000,-5384.50398305
0.08960000,-5389.41602676
0.09000000,-5394.28691384
0.09040000,-5399.11621800
0.09080000,-5403.90351355
0.09120000,-5408.64837542
0.09160000,-5413.35037919
0.09200000,-5418.00910109
0.09240000,-5422.62411801
0.09280000,-5427.19500757
0.09320000,-5431.72134806
0.09360000,-5436.20271853
0.09400000,-5440.63869877
0.09440000,-5445.02886935
0.09480000,-5449.37281161
0.09520000,-5453.67010770
0.09560000,-5457.92034060
0.09600000,-5462.12309412
0.09640000,-5466.27795294
0.09680000,-5470.38450262
0.09720000,-5474.44232961
0.09760000,-5478.45102127
0.09800000,-5482.41016591
0.09840000,-5486.31935278
0.09880000,-5490.17817209
0.09920000,-5493.98621506
0.09960000,-5497.74307390
0.10000000,-5501.44834185
0.10040000,-5505.10161318
0.10080000,-5508.70248324
0.10120000,-5512.25054844
0.10160000,-5515.74540629
0.10200000,-5519.18665543
0.10240000,-5522.57389559
0.10280000,-5525.90672770
0.10320000,-5529.18475381
0.10360000,-5532.40757719
0.10400000,-5535.57480230
0.10440000,-5538.68603480
0.10480000,-5541.74088162
0.10520000,-5544.73895092
0.10560000,-5547.67985215
0.10600000,-5550.56319603
0.10640000,-5553.38859460
0.10680000,-5556.15566123
0.10720000,-5558.86401061
0.10760000,-5561.51325880
0.10800000,-5564.10302325
0.10840000,-5566.63292278
0.10880000,-5569.10257763
0.10920000,-5571.51160948
0.10960000,-5573.85964142
0.11000000,-5576.14629803
0.11040000,-5578.37120536
0.11080000,-5580.53399096
0.11120000,-5582.63428388
0.11160000,-5584.67171470
0.11200000,-5586.64591555
0.11240000,-5588.55652012
0.11280000,-5590.40316367
0.11320000,-5592.18548307
0.11360000,-5593.90311679
0.11400000,-5595.55570492
0.11440000,-5597.14288920
0.11480000,-5598.66431304
0.11520000,-5600.11962151
0.11560000,-5601.50846138
0.11600000,-5602.83048112
0.11640000,-5604.08533093
0.11680000,-5605.27266275
0.11720000,-5606.39213027
0.11760000,-5607.44338895
0.11800000,-5608.42609604
0.11840000,-5609.33991060
0.11880000,-5610.18449349
0.11920000,-5610.95950742
0.11960000,-5611.66461694
0.12000000,-5612.29948846
0.12040000,-5612.86379029
0.12080000,-5613.35719260
0.12120000,-5613.77936749
0.12160000,-5614.12998900
0.12200000,-5614.40873308
0.12240000,-5614.61527765
0.12280000,-5614.74930259
0.12320000,-5614.81048978
0.12360000,-5614.79852308
0.12400000,-5614.71308837
0.12440000,-5614.55387357
0.12480000,-5614.32056862
0.12520000,-5614.01286553
0.12560000,-5613.63045839
0.12600000,-5613.17304334
0.12640000,-5612.64031866
0.12680000,-5612.03198472
0.12720000,-5611.34774402
0.12760000,-5610.58730120
0.12800000,-5609.75036306
0.12840000,-5608.83663857
0.12880000,-5607.84583887
0.12920000,-5606.77767731
