time_ms,Omega_ctrl_Hz
0.08560000,3141.61446714
0.08600000,3122.82267481
0.08640000,3103.95094040
0.08680000,3084.99986881
0.08720000,3065.97006736
0.08760000,3046.86214574
0.08800000,3027.67671601
0.08840000,3008.41439256
0.08880000,2989.07579211
0.08920000,2969.66153370
0.08960000,2950.17223861
0.09000000,2930.60853043
0.09040000,2910.97103497
0.09080000,2891.26038025
0.09120000,2871.47719651
0.09160000,2851.62211618
0.09200000,2831.69577382
0.09240000,2811.69880616
0.09280000,2791.63185204
0.09320000,2771.49555240
0.09360000,2751.29055025
0.09400000,2731.01749068
0.09440000,2710.67702080
0.09480000,2690.26978973
0.09520000,2669.79644860
0.09560000,2649.25765052
0.09600000,2628.65405054
0.09640000,2607.98630564
0.09680000,2587.25507472
0.09720000,2566.46101857
0.09760000,2545.60479984
0.09800000,2524.68708304
0.09840000,2503.70853448
0.09880000,2482.66982231
0.09920000,2461.57161644
0.09960000,2440.41458854
0.10000000,2419.19941202
0.10040000,2397.92676202
0.10080000,2376.59731536
0.10120000,2355.21175054
0.10160000,2333.77074770
0.10200000,2312.27498864
0.10240000,2290.72515674
0.10280000,2269.12193696
0.10320000,2247.46601585
0.10360000,2225.75808149
0.10400000,2203.99882346
0.10440000,2182.18893287
0.10480000,2160.32910228
0.10520000,2138.42002570
0.10560000,2116.46239858
0.10600000,2094.45691778
0.10640000,2072.40428154
0.10680000,2050.30518945
0.10720000,2028.16034246
0.10760000,2005.97044281
0.10800000,1983.73619406
0.10840000,1961.45830102
0.10880000,1939.13746977
0.10920000,1916.77440759
0.10960000,1894.36982297
0.11000000,1871.92442560
0.11040000,1849.43892630
0.11080000,1826.91403704
0.11120000,1804.35047088
0.11160000,1781.74894199
0.11200000,1759.11016559
0.11240000,1736.43485795
0.11280000,1713.72373635
0.11320000,1690.97751906
0.11360000,1668.19692535
0.11400000,1645.38267539
0.11440000,1622.53549032
0.11480000,1599.65609216
0.11520000,1576.74520380
0.11560000,1553.80354900
0.11600000,1530.83185235
0.11640000,1507.83083925
0.11680000,1484.80123586
0.11720000,1461.74376912
0.11760000,1438.65916672
0.11800000,1415.54815705
0.11840000,1392.41146917
0.11880000,1369.24983283
0.11920000,1346.06397843
0.11960000,1322.85463697
0.12000000,1299.62254006
0.12040000,1276.36841986
0.12080000,1253.09300910
0.12120000,1229.79704102
0.12160000,1206.48124938
0.12200000,1183.14636839
0.12240000,1159.79313274
0.12280000,1136.42227753
0.12320000,1113.03453827
0.12360000,1089.63065085
0.12400000,1066.21135154
0.12440000,1042.77737690
0.12480000,1019.32946385
0.12520000,995.86834955
0.12560000,972.39477146
0.12600000,948.90946726
0.12640000,925.41317484
0.12680000,901.90663230
0.12720000,878.39057789
0.12760000,854.86575001
0.12800000,831.33288718
0.12840000,807.79272801
0.12880000,784.24601119
0.12920000,760.69347545
0.12960000,737.13585955
0.13000000,713.57390224
0.13040000,690.00834226
0.13080000,666.43991829
0.13120000,642.86936895
0.13160000,619.29743274
0.13200000,595.72484807
0.13240000,572.15235319
0.13280000,548.58068618
0.13320000,525.01058495
0.13360000,501.44278717
0.13400000,477.87803028
0.13440000,454.31705147
0.13480000,430.76058761
0.13520000,407.20937531
0.13560000,383.66415079
0.13600000,360.12564995
0.13640000,336.59460830
0.13680000,313.07176094
0.13720000,289.55784254
0.13760000,266.05358733
0.13800000,242.55972904
0.13840000,219.07700092
0.13880000,195.60613569
0.13920000,172.14786551
0.13960000,148.70292200
0.14000000,125.27203614
0.14040000,101.85593833
0.14080000,78.45535832
0.14120000,55.07102517
0.14160000,31.70366729
0.14200000,8.35401234
0.14240000,-14.97721273
0.14280000,-38.28928174
0.14320000,-61.58146930
0.14360000,-84.85305081
0.14400000,-108.10330252
0.14440000,-131.33150150
0.14480000,-154.53692574
0.14520000,-177.71885410
0.14560000,-200.87656637
0.14600000,-224.00934329
0.14640000,-247.11646655
0.14680000,-270.19721887
0.14720000,-293.25088396
0.14760000,-316.27674656
0.14800000,-339.27409249
0.14840000,-362.24220866
0.14880000,-385.18038306
0.14920000,-408.08790483
0.14960000,-430.96406427
0.15000000,-453.80815284
0.15040000,-476.61946321
0.15080000,-499.39728926
0.15120000,-522.14092612
0.15160000,-544.84967020
0.15200000,-567.52281918
0.15240000,-590.15967206
0.15280000,-612.75952918
0.15320000,-635.32169223
0.15360000,-657.84546428
0.15400000,-680.33014982
0.15440000,-702.77505473
0.15480000,-725.17948636
0.15520000,-747.54275354
0.15560000,-769.86416655
0.15600000,-792.14303724
0.15640000,-814.37867894
0.15680000,-836.57040657
0.15720000,-858.71753662
0.15760000,-880.81938719
0.15800000,-902.87527799
0.15840000,-924.88453038
0.15880000,-946.84646739
0.15920000,-968.76041374
0.15960000,-990.62569584
0.16000000,-1012.44164187
0.16040000,-1034.20758172
0.16080000,-1055.92284709
0.16120000,-1077.58677145
0.16160000,-1099.19869010
0.16200000,-1120.75794018
0.16240000,-1142.26386069
0.16280000,-1163.71579250
0.16320000,-1185.11307838
0.16360000,-1206.45506305
0.16400000,-1227.74109315
0.16440000,-1248.97051728
0.16480000,-1270.14268605
0.16520000,-1291.25695205
0.16560000,-1312.31266992
0.16600000,-1333.30919632
0.16640000,-1354.24589000
0.16680000,-1375.12211180
0.16720000,-1395.93722465
0.16760000,-1416.69059362
0.16800000,-1437.38158594
0.16840000,-1458.00957099
0.16880000,-1478.57392035
0.16920000,-1499.07400780
0.16960000,-1519.50920936
0.17000000,-1539.87890331
0.17040000,-1560.18247016
0.17080000,-1580.41929275
0.17120000,-1600.58875621
0.17160000,-1620.69024799
0.17200000,-1640.72315790
0.17240000,-1660.68687812
0.17280000,-1680.58080321
0.17320000,-1700.40433012
0.17360000,-1720.15685824
0.17400000,-1739.83778941
0.17440000,-1759.44652793
0.17480000,-1778.98248055
0.17520000,-1798.44505656
0.17560000,-1817.83366776
0.17600000,-1837.14772846
0.17640000,-1856.38665556
0.17680000,-1875.54986851
0.17720000,-1894.63678936
0.17760000,-1913.64684278
0.17800000,-1932.57945606
0.17840000,-1951.43405913
0.17880000,-1970.21008459
0.17920000,-1988.90696774
0.17960000,-2007.52414655
0.18000000,-2026.06106173
0.18040000,-2044.51715671
0.18080000,-2062.89187769
0.18120000,-2081.18467364
0.18160000,-2099.39499629
0.18200000,-2117.52230021
0.18240000,-2135.56604277
0.18280000,-2153.52568420
0.18320000,-2171.40068756
0.18360000,-2189.19051879
0.18400000,-2206.89464675
0.18440000,-2224.51254316
0.18480000,-2242.04368269
0.18520000,-2259.48754295
0.18560000,-2276.84360450
0.18600000,-2294.11135087
0.18640000,-2311.29026857
0.18680000,-2328.37984714
0.18720000,-2345.37957911
0.18760000,-2362.28896006
0.18800000,-2379.10748863
0.18840000,-2395.83466651
0.18880000,-2412.46999849
0.18920000,-2429.01299243
0.18960000,-2445.46315933
0.19000000,-2461.82001332
0.19040000,-2478.08307165
0.19080000,-2494.25185473
0.19120000,-2510.32588618
0.19160000,-2526.30469277
0.19200000,-2542.18780447
0.19240000,-2557.97475451
0.19280000,-2573.66507930
0.19320000,-2589.25831852
0.19360000,-2604.75401512
0.19400000,-2620.15171530
0.19440000,-2635.45096857
0.19480000,-2650.65132773
0.19520000,-2665.75234889
0.19560000,-2680.75359150
0.19600000,-2695.65461835
0.19640000,-2710.45499558
0.19680000,-2725.15429272
0.19720000,-2739.75208265
0.19760000,-2754.24794166
0.19800000,-2768.64144946
0.19840000,-2782.93218917
0.19880000,-2797.11974734
0.19920000,-2811.20371397
0.19960000,-2825.18368253
0.20000000,-2839.05924994
0.20040000,-2852.83001662
0.20080000,-2866.49558648
0.20120000,-2880.05556693
0.20160000,-2893.50956892
0.20200000,-2906.85720690
0.20240000,-2920.09809890
0.20280000,-2933.23186647
0.20320000,-2946.25813474
0.20360000,-2959.17653242
0.20400000,-2971.98669179
0.20440000,-2984.68824877
0.20480000,-2997.28084283
0.20520000,-3009.76411712
0.20560000,-3022.13771837
0.20600000,-3034.40129699
0.20640000,-3046.55450702
0.20680000,-3058.59700617
0.20720000,-3070.52845582
0.20760000,-3082.34852103
0.20800000,-3094.05687055
0.20840000,-3105.65317685
0.20880000,-3117.13711608
0.20920000,-3128.50836814
0.20960000,-3139.76661665
0.21000000,-3150.91154896
0.21040000,-3161.94285617
0.21080000,-3172.86023316
0.21120000,-3183.66337855
0.21160000,-3194.35199475
0.21200000,-3204.92578794
0.21240000,-3215.38446810
0.21280000,-3225.72774902
0.21320000,-3235.95534828
0.21360000,-3246.06698730
0.21400000,-3256.06239129
0.21440000,-3265.94128932
0.21480000,-3275.70341430
0.21520000,-3285.34850297
0.21560000,-3294.87629593
0.21600000,-3304.28653766
0.21640000,-3313.57897649
0.21680000,-3322.75336464
0.21720000,-3331.80945819
0.21760000,-3340.74701713
0.21800000,-3349.56580535
0.21840000,-3358.26559062
0.21880000,-3366.84614465
0.21920000,-3375.30724304
0.21960000,-3383.64866532
0.22000000,-3391.87019494
0.22040000,-3399.97161932
0.22080000,-3407.95272976
0.22120000,-3415.81332155
0.22160000,-3423.55319391
0.22200000,-3431.17215002
0.22240000,-3438.66999702
0.22280000,-3446.04654602
0.22320000,-3453.30161209
0.22360000,-3460.43501428
0.22400000,-3467.44657562
0.22440000,-3474.33612313
0.22480000,-3481.10348780
0.22520000,-3487.74850462
0.22560000,-3494.27101260
0.22600000,-3500.67085471
0.22640000,-3506.94787796
0.22680000,-3513.10193334
0.22720000,-3519.13287587
0.22760000,-3525.04056456
0.22800000,-3530.82486248
0.22840000,-3536.48563668
0.22880000,-3542.02275825
0.22920000,-3547.43610231
0.22960000,-3552.72554800
0.23000000,-3557.89097850
0.23040000,-3562.93228101
0.23080000,-3567.84934679
0.23120000,-3572.64207112
0.23160000,-3577.31035332
0.23200000,-3581.85409676
0.23240000,-3586.27320886
0.23280000,-3590.56760106
0.23320000,-3594.73718887
0.23360000,-3598.78189185
0.23400000,-3602.70163359
0.23440000,-3606.49634174
0.23480000,-3610.16594801
0.23520000,-3613.71038815
0.23560000,-3617.12960197
0.23600000,-3620.42353332
0.23640000,-3623.59213012
0.23680000,-3626.63534434
0.23720000,-3629.55313198
0.23760000,-3632.34545314
0.23800000,-3635.01227193
0.23840000,-3637.55355652
0.23880000,-3639.96927916
0.23920000,-3642.25941612
0.23960000,-3644.42394774
0.24000000,-3646.46285840
0.24040000,-3648.37613653
0.24080000,-3650.16377461
0.24120000,-3651.82576917
0.24160000,-3653.36212077
0.24200000,-3654.77283404
0.24240000,-3656.05791761
0.24280000,-3657.21738420
0.24320000,-3658.25125053
0.24360000,-3659.15953736
0.24400000,-3659.94226951
0.24440000,-3660.59947579
0.24480000,-3661.13118907
0.24520000,-3661.53744623
0.24560000,-3661.81828818
0.24600000,-3661.97375984
0.24640000,-3662.00391016
