time_ms,Omega_ctrl_Hz
0.00000000,3000.00000000
0.00040000,3000.00000000
0.00080000,3000.00000000
0.00120000,3000.00000000
0.00160000,3000.00000000
0.00200000,3000.00000000
0.00240000,3000.00000000
0.00280000,3000.00000000
0.00320000,3000.00000000
0.00360000,3000.00000000
0.00400000,3000.00000000
0.00440000,3000.00000000
0.00480000,3000.00000000
0.00520000,3000.00000000
0.00560000,3000.00000000
0.00600000,3000.00000000
0.00640000,3000.00000000
0.00680000,3000.00000000
0.00720000,3000.00000000
0.00760000,3000.00000000
0.00800000,3000.00000000
0.00840000,3000.00000000
0.00880000,3000.00000000
0.00920000,3000.00000000
0.00960000,3000.00000000
0.01000000,3000.00000000
0.01040000,3000.00000000
0.01080000,3000.00000000
0.01120000,3000.00000000
0.01160000,3000.00000000
0.01200000,3000.00000000
0.01240000,3000.00000000
0.01280000,3000.00000000
0.01320000,3000.00000000
0.01360000,3000.00000000
0.01400000,3000.00000000
0.01440000,3000.00000000
0.01480000,3000.00000000
0.01520000,3000.00000000
0.01560000,3000.00000000
0.01600000,3000.00000000
0.01640000,3000.00000000
0.01680000,3000.00000000
0.01720000,3000.00000000
0.01760000,3000.00000000
0.01800000,3000.00000000
0.01840000,3000.00000000
0.01880000,3000.00000000
0.01920000,3000.00000000
0.01960000,3000.00000000
0.02000000,3000.00000000
0.02040000,3000.00000000
0.02080000,3000.00000000
0.02120000,3000.00000000
0.02160000,3000.00000000
0.02200000,3000.00000000
0.02240000,3000.00000000
0.02280000,3000.00000000
0.02320000,3000.00000000
0.02360000,3000.00000000
0.02400000,3000.00000000
0.02440000,3000.00000000
0.02480000,3000.00000000
0.02520000,3000.00000000
0.02560000,3000.00000000
0.02600000,3000.00000000
0.02640000,3000.00000000
0.02680000,3000.00000000
0.02720000,3000.00000000
0.02760000,3000.00000000
0.02800000,3000.00000000
0.02840000,3000.00000000
0.02880000,3000.00000000
0.02920000,3000.00000000
0.02960000,3000.00000000
0.03000000,3000.00000000
0.03040000,3000.00000000
0.03080000,3000.00000000
0.03120000,3000.00000000
0.03160000,3000.00000000
0.03200000,3000.00000000
0.03240000,3000.00000000
0.03280000,3000.00000000
0.03320000,3000.00000000
0.03360000,3000.00000000
0.03400000,3000.00000000
0.03440000,3000.00000000
0.03480000,3000.00000000
0.03520000,3000.00000000
0.03560000,3000.00000000
0.03600000,3000.00000000
0.03640000,3000.00000000
0.03680000,3000.00000000
0.03720000,3000.00000000
0.03760000,3000.00000000
